Cell_Index_Global	Cage_ID	Cell_Type	Median_intensity_FITC	Median_intensity_TRITC	Median_intensity_Cy5
1		Undetermined	876	4743	12024
2	0_0	Undetermined	45376	7701	10081
3	0_0	Undetermined	833	5319	18894
4	0_0	Undetermined	613	1932	5785
5	0_0	Undetermined	663	3290	15890
6		Undetermined	723	2589	16736
7	1_1	M_B3Z	41029	1291	4921
8		M_B3Z	4038	1125	3987
9	0_2	Undetermined	417	1068	4541
10		Undetermined	464	970	3900
11		Undetermined	388	880	3468
14		H_Ramos	305	798	10426
15		M_B3Z	39510	743	3501
16	1_3	M_B3Z	41294	1061	5064
17	0_3	H_Ramos	430	855	17554
18	0_4	H_Ramos	663	1210	15145
20	1_4	M_B3Z	65432	1246	5287
21	0_5	M_B3Z	3495	1229	6192
22	0_5	Undetermined	638	1116	7250
23		H_Ramos	742	1031	19475
24	0_5	Undetermined	969	1601	7608
25	1_5	M_B3Z	5221	1186	4956
31		M_B3Z	44732	919	4602
32		Undetermined	327	951	5400
33	1_6	H_Ramos	521	715	13055
34	1_6	H_Ramos	526	716	30014
35	1_6	M_B3Z	48560	954	5299
36	1_6	M_B3Z	49165	903	4956
37	0_7	Undetermined	394	669	5635
39		M_B3Z	6863	633	3294
40		H_Ramos	436	1297	16660
41		Undetermined	412	759	5138
42	1_8	M_B3Z	58102	922	4285
43	1_8	H_Ramos	405	672	15751
46		M_B3Z	2515	901	4919
48	1_9	H_Ramos	490	1056	11632
49	0_9	H_Ramos	416	873	22079
51	1_9	M_B3Z	44656	1046	4655
52	0_9	M_B3Z	2369	1390	6363
53		Undetermined	353	768	4618
54	0_10	H_Ramos	392	1032	16833
55	1_10	M_B3Z	6079	1184	5597
56	0_10	Undetermined	337	802	4733
57		M_B3Z	27103	1549	6648
58	0_11	M_B3Z	48039	1743	6196
59		H_Ramos	537	1538	9074
60	0_12	Undetermined	33269	2020	6575
61	1_12	Undetermined	776	1814	5279
62	1_12	M_B3Z	44199	2030	5524
63	1_12	H_Ramos	839	1589	28590
64	0_12	M_B3Z	38066	1850	5729
65	0_12	H_Ramos	848	1899	12448
66	0_13	M_B3Z	44124	1941	5627
67	1_13	Undetermined	65433	1938	5132
68	0_13	Undetermined	802	1927	23989
69	1_13	M_B3Z	65435	1848	4995
73	0_13	H_Ramos	873	1677	19200
74		Undetermined	773	1758	6176
75		M_B3Z	45197	1732	4548
76	1_14	M_B3Z	53835	1783	4658
77	1_14	H_Ramos	923	1693	17393
78	1_14	M_B3Z	62241	1937	5581
79	1_14	H_Ramos	1013	1716	20486
80	0_14	M_B3Z	29464	2046	6345
81		H_Ramos	845	2020	14204
82	0_15	M_B3Z	60891	1890	6492
83	1_15	H_Ramos	866	1497	17872
84	0_15	H_Ramos	845	1684	18993
85	0_15	M_B3Z	9807	1776	6180
86	0_15	M_B3Z	65432	1955	5514
87	1_16	M_B3Z	53559	1254	4527
89	1_17	H_Ramos	457	1104	16626
90	0_17	M_B3Z	24417	1375	6201
91	0_18	H_Ramos	406	1185	15650
92		Undetermined	361	874	3793
93		Undetermined	386	1427	7816
95	0_19	M_B3Z	32040	1592	5046
96	1_19	M_B3Z	50291	1111	4281
97	0_19	H_Ramos	339	962	17641
98	0_19	M_B3Z	42449	1068	4653
102	0_19	M_B3Z	29299	1395	5428
103	0_19	H_Ramos	441	1224	21457
104		M_B3Z	58669	1425	5036
105	1_20	M_B3Z	28756	1419	5324
106	0_20	M_B3Z	58563	1532	6512
107	1_20	M_B3Z	53136	1556	5360
108		M_B3Z	42172	1800	5435
109	1_21	H_Ramos	451	1167	15481
110	1_21	H_Ramos	445	1155	27169
111	0_21	M_B3Z	48441	1435	6169
112		Undetermined	346	869	3662
115	1_22	M_B3Z	49044	1381	4292
117	1_22	H_Ramos	434	1226	17947
118	0_22	M_B3Z	65430	1655	5767
119		M_B3Z	3542	1455	6322
120	1_23	Undetermined	546	1460	5889
121	1_23	H_Ramos	454	1303	21437
122	1_23	M_B3Z	65433	1520	5075
123		Undetermined	602	2441	5683
124		M_B3Z	42714	1405	4904
125		Undetermined	273	852	3419
126		M_B3Z	41643	1569	5613
127		M_B3Z	4465	1560	6518
128	0_24	M_B3Z	4132	1383	6254
129		Undetermined	3733	1564	13849
130	0_24	H_Ramos	355	1409	12311
131	0_24	H_Ramos	394	1352	8237
132	0_24	M_B3Z	48723	1610	5423
140		Undetermined	756	2123	4900
141		M_B3Z	11627	1681	6630
142	0_25	M_B3Z	29466	1626	7107
143		H_Ramos	376	1671	14992
144	1_26	H_Ramos	407	1248	15089
145	0_26	M_B3Z	57002	1752	6947
146	1_26	M_B3Z	58120	1592	5535
147	0_26	H_Ramos	380	1419	22452
148	1_27	M_B3Z	65433	1557	5002
149	0_27	H_Ramos	361	1243	16784
150	1_27	M_B3Z	17449	1171	4757
154		M_B3Z	46369	1990	7950
155		M_B3Z	28836	1980	6772
156		H_Ramos	426	1898	20600
157		M_B3Z	65434	1473	4616
158	1_29	H_Ramos	418	1291	18308
159		Undetermined	304	1473	5087
162	0_30	H_Ramos	423	1663	22916
163	0_30	M_B3Z	54881	1915	7061
164		M_B3Z	65434	2328	6852
165		Undetermined	406	1330	8354
166		M_B3Z	53329	2210	6857
167	1_31	M_B3Z	65430	1766	5863
168	0_31	H_Ramos	417	1720	22299
169		H_Ramos	384	1196	22919
170	0_32	M_B3Z	3407	1715	6664
171	0_32	M_B3Z	49054	1592	5272
174	1_33	H_Ramos	391	1327	23676
175	0_33	H_Ramos	426	1603	13960
176	0_33	H_Ramos	464	1519	32429
177	0_33	M_B3Z	65433	1848	6656
178	0_33	M_B3Z	46798	1663	6045
179	1_34	H_Ramos	409	1334	16957
180	0_34	M_B3Z	7239	1641	6916
181	1_35	H_Ramos	374	1065	15957
183		Undetermined	333	1057	4641
184	1_36	H_Ramos	365	954	21409
185	0_36	H_Ramos	379	1089	16090
186	1_36	H_Ramos	356	968	17681
187		Undetermined	302	1352	8695
188		M_B3Z	36422	1388	4906
189	1_37	M_B3Z	61435	1252	4344
190		H_Ramos	394	925	29337
191	1_38	M_B3Z	36827	965	3624
192	0_38	H_Ramos	309	933	11940
193		Undetermined	309	881	3861
195	0_38	M_B3Z	16258	1165	4369
197	1_39	H_Ramos	386	1077	19666
198	0_39	Undetermined	356	1067	4873
199	0_39	H_Ramos	356	1110	13896
200		Undetermined	351	997	4397
201	1_40	M_B3Z	57825	1156	4257
202	1_40	H_Ramos	387	974	14252
203	0_40	M_B3Z	14080	1240	5198
204	1_40	Undetermined	308	838	3706
206		M_B3Z	29696	1137	4130
207	1_41	H_Ramos	380	976	19736
208	0_41	Undetermined	365	1040	4930
209		M_B3Z	4708	1854	5086
210	0_42	M_B3Z	63064	1309	5217
211	0_42	H_Ramos	390	1044	19216
212		Undetermined	348	1299	5341
213	0_43	M_B3Z	65433	1363	4906
214	1_43	H_Ramos	374	895	18377
215	0_43	M_B3Z	45314	1183	4736
216		M_B3Z	12291	1516	5647
223		Undetermined	294	749	3506
224	1_44	H_Ramos	438	998	25885
225	0_44	H_Ramos	414	1063	18106
226	1_45	M_B3Z	65356	1197	4713
227	0_46	M_B3Z	52556	1093	4908
228	0_46	M_B3Z	57961	1123	4698
231		M_B3Z	42256	1291	16063
233	0_47	M_B3Z	2954	1094	6080
234		M_B3Z	46093	1225	5955
235		Undetermined	316	705	3745
236	0_47	H_Ramos	442	1061	19352
237		H_Ramos	370	1450	14873
238	0_48	H_Ramos	401	940	20131
239		H_Ramos	397	1034	14975
240	1_48	H_Ramos	627	840	21278
241	1_48	M_B3Z	43983	1058	4969
242	1_48	M_B3Z	65433	1173	4476
243	1_48	H_Ramos	416	826	25685
244		M_B3Z	40241	1297	4782
245		M_B3Z	1829	1355	5572
247		M_B3Z	32281	1115	4648
248		H_Ramos	401	880	21526
249	0_50	M_B3Z	56129	1427	5450
250	0_50	H_Ramos	450	1016	26099
251	0_50	M_B3Z	57625	1259	5621
252	1_50	M_B3Z	46501	1064	4487
253	0_51	H_Ramos	398	946	14803
254	1_51	M_B3Z	54847	1076	4106
255	1_51	M_B3Z	53632	1087	4075
257	0_51	H_Ramos	338	857	19044
263		M_B3Z	39446	1080	3825
264		H_Ramos	406	811	18925
265	0_52	H_Ramos	392	952	27286
266	0_52	H_Ramos	408	932	32496
267	0_53	H_Ramos	396	929	34292
268	0_53	H_Ramos	414	948	24867
269		H_Ramos	353	1527	12771
270	1_53	M_B3Z	65435	1182	4653
271	1_53	H_Ramos	407	808	17479
272	0_53	H_Ramos	379	902	18253
273	0_54	H_Ramos	380	878	18874
274		M_B3Z	3708	1163	5348
275		M_B3Z	22041	1166	4611
280	0_54	M_B3Z	40707	1048	4720
281	1_55	H_Ramos	376	783	17651
282	1_55	H_Ramos	397	803	14086
283	1_55	H_Ramos	394	827	20244
284		M_B3Z	4886	822	4284
285	1_56	M_B3Z	27224	1053	4658
286		M_B3Z	65432	1385	4395
287		M_B3Z	51575	1225	5487
288	1_57	H_Ramos	366	703	13281
289	0_57	M_B3Z	49498	935	4874
290	1_57	M_B3Z	48449	951	3885
291	1_57	M_B3Z	41197	836	3873
297	1_58	M_B3Z	43386	1064	4601
298	1_59	H_Ramos	398	841	18015
299		Undetermined	355	1429	6259
300	0_59	M_B3Z	31458	1141	5946
301	1_60	M_B3Z	64424	1180	4625
302	0_60	M_B3Z	34241	1182	5898
303		H_Ramos	412	1030	25340
304		Undetermined	370	836	4402
305		M_B3Z	54996	1372	6597
306	1_61	H_Ramos	369	856	14416
307		H_Ramos	378	1165	19643
308		M_B3Z	1161	752	3751
309	0_62	H_Ramos	387	948	20866
310		M_B3Z	12975	1744	5738
311		H_Ramos	415	805	21442
314		H_Ramos	411	1430	10870
315	0_63	H_Ramos	422	1139	23161
316		M_B3Z	11972	1542	6971
317	0_64	M_B3Z	65434	1581	6652
318	0_64	M_B3Z	65434	1491	6522
319		M_B3Z	50864	1210	5471
320	0_65	M_B3Z	35808	1245	5930
321	0_65	M_B3Z	65433	1385	5216
322	1_65	H_Ramos	369	861	19245
325	0_65	M_B3Z	57064	1342	5025
326	1_65	M_B3Z	33821	920	3425
327	1_65	M_B3Z	13199	850	3649
331		H_Ramos	302	1121	14527
332		M_B3Z	50766	1243	4644
335		M_B3Z	55758	1448	7011
336		M_B3Z	44612	1600	5404
337	0_66	H_Ramos	445	1120	23395
338		H_Ramos	447	1123	17230
339	1_66	M_B3Z	62998	1225	4845
340	0_66	M_B3Z	45754	1477	6496
341	1_66	M_B3Z	62769	1312	4708
342	0_66	M_B3Z	62491	1488	6280
343		H_Ramos	411	1483	15934
344	1_66	H_Ramos	404	991	21837
345	0_66	H_Ramos	626	1152	23048
346	0_67	M_B3Z	64719	1323	5287
347	0_67	M_B3Z	8028	1195	5767
348	1_67	Undetermined	412	1034	7781
349	0_67	M_B3Z	65433	1554	6081
350		H_Ramos	434	1569	22324
351		H_Ramos	391	1382	17603
352		M_B3Z	39506	955	3689
353		M_B3Z	2087	1316	6428
354	1_68	M_B3Z	29493	984	3291
355	1_68	Undetermined	327	706	6801
358		M_B3Z	14030	1056	4505
361	0_69	H_Ramos	443	1220	25342
362	0_69	M_B3Z	37043	1260	5357
363	0_69	H_Ramos	509	1154	16265
364	1_69	H_Ramos	403	1065	24781
365	1_69	H_Ramos	430	1092	17754
366	0_69	M_B3Z	51252	1478	5746
367		M_B3Z	45226	1860	5587
368	0_70	M_B3Z	57696	1729	6065
369	0_70	M_B3Z	65391	1312	4840
370		M_B3Z	42924	1428	5765
371	1_70	H_Ramos	341	871	21645
372	0_70	M_B3Z	22595	1263	5108
375		H_Ramos	358	1210	17601
376	0_71	H_Ramos	417	1226	21266
377		M_B3Z	38288	2081	5820
378	0_71	H_Ramos	432	1288	30884
379	0_71	H_Ramos	443	1275	27392
380		H_Ramos	412	1551	23957
381		M_B3Z	36909	1766	4820
382		H_Ramos	460	1836	15840
383	1_72	M_B3Z	48338	1181	4544
384		Undetermined	371	1822	4709
385		Undetermined	469	2062	7437
386		M_B3Z	44353	1922	5417
387	0_72	H_Ramos	450	1261	16675
388		H_Ramos	472	1679	9470
389	1_73	M_B3Z	2187	961	4088
390	0_73	M_B3Z	51228	1445	5291
391	0_73	Undetermined	37109	1198	15641
396		M_B3Z	29942	1505	5205
397		H_Ramos	329	1487	14047
398		H_Ramos	378	1556	14212
399	1_75	H_Ramos	362	1004	12713
400		M_B3Z	47602	1462	6087
401	1_75	H_Ramos	362	903	18106
402	1_75	H_Ramos	440	1049	25553
403	1_75	M_B3Z	4594	961	4259
404	0_75	H_Ramos	418	1183	18867
406		M_B3Z	31556	1344	5087
407	1_76	H_Ramos	325	835	14431
411	0_77	M_B3Z	55710	1478	5742
412	0_77	H_Ramos	462	1376	24791
413	0_77	M_B3Z	57909	1491	5405
414	0_77	H_Ramos	479	1358	25683
415		H_Ramos	433	1262	24423
416		Undetermined	385	1921	6120
417	0_78	H_Ramos	443	1322	16214
418	1_78	H_Ramos	374	1052	14152
419	1_78	Undetermined	416	1371	4688
420	1_78	H_Ramos	333	977	14427
421		H_Ramos	398	1610	12865
422		Undetermined	349	1124	4470
423		Undetermined	380	1382	6841
424	1_80	H_Ramos	407	1196	24411
425	0_80	H_Ramos	461	1521	28647
427	0_80	H_Ramos	448	1459	21383
428	1_80	M_B3Z	48714	1385	4671
429		M_B3Z	5423	1755	6176
430		H_Ramos	407	1342	28637
431	1_81	H_Ramos	358	1094	14915
432		Undetermined	285	1415	4542
433		M_B3Z	1813	1882	7101
435		H_Ramos	398	1745	22108
436	0_83	Undetermined	404	1422	5676
437	0_83	H_Ramos	420	1223	17113
438	0_83	M_B3Z	50148	1755	5699
439	1_83	Undetermined	1410	1080	4170
440		H_Ramos	365	1108	16138
441		H_Ramos	436	1267	24460
442		H_Ramos	423	1257	14181
443		H_Ramos	341	1381	21767
444	1_84	H_Ramos	602	1648	8773
445	1_84	M_B3Z	7929	1108	3960
446	0_84	H_Ramos	408	1260	18403
447	1_84	H_Ramos	345	1028	15762
449	0_84	H_Ramos	369	1108	22119
455		H_Ramos	384	1137	23914
457		M_B3Z	36729	1319	4833
458		H_Ramos	406	1132	20518
459	1_85	M_B3Z	41163	1276	4025
460		M_B3Z	29049	1669	4542
461		H_Ramos	350	923	16446
462	0_86	M_B3Z	65428	1492	5074
463	1_86	M_B3Z	65434	1423	3905
464	1_86	M_B3Z	59377	1418	3928
465		H_Ramos	416	1215	11299
466		Undetermined	329	1194	4368
467	0_87	M_B3Z	42332	1153	4151
472		M_B3Z	40096	1488	4273
473	1_87	M_B3Z	50898	1448	3765
474		H_Ramos	538	1436	10383
475	0_88	H_Ramos	452	1112	36363
476		H_Ramos	418	1307	17944
477	1_88	M_B3Z	18955	1220	3773
478	1_88	Undetermined	17394	1255	11110
479	0_89	H_Ramos	452	1011	19769
480	0_89	H_Ramos	437	1031	15987
481	0_89	H_Ramos	421	1171	10540
482	1_89	M_B3Z	2949	990	3398
483		M_B3Z	53134	1627	4202
484		M_B3Z	65435	1375	4028
485		H_Ramos	625	978	17553
491	1_90	M_B3Z	64471	1730	3453
492	0_90	H_Ramos	487	1641	12835
493	0_90	H_Ramos	455	1469	36134
494		H_Ramos	446	1248	26448
495		M_B3Z	26589	1606	4163
496		M_B3Z	30112	1581	5582
497		M_B3Z	23829	2646	5490
498	0_91	H_Ramos	458	1434	20494
499	0_91	H_Ramos	471	1475	18597
500	0_91	M_B3Z	42593	1657	5193
501	0_92	Undetermined	4762	2462	5054
502		M_B3Z	34353	1972	4283
503	1_92	H_Ramos	282	1027	14635
508		H_Ramos	349	1370	15342
509		M_B3Z	35713	1438	59041
510		H_Ramos	444	1413	14173
511	0_93	H_Ramos	427	1073	19524
512	0_93	M_B3Z	43890	1474	4660
513		M_B3Z	60878	1483	5133
514		Undetermined	65435	1812	5309
515	1_93	M_B3Z	28696	1225	4758
516	1_93	H_Ramos	431	1039	20117
517		Undetermined	389	1423	5377
518	1_94	M_B3Z	4084	1175	3817
519	0_94	H_Ramos	478	1460	27677
520		M_B3Z	64273	2090	5197
521	1_94	M_B3Z	26575	1211	3402
523		H_Ramos	413	1196	20128
524	0_95	M_B3Z	42845	1442	4136
526		Undetermined	37978	2206	5066
527	0_96	M_B3Z	55009	1442	4066
528	1_96	H_Ramos	359	1019	14463
529	1_96	Undetermined	361	9208	15584
530		H_Ramos	422	1368	16037
531		M_B3Z	47330	1648	4278
532	1_97	H_Ramos	350	975	14162
533	1_97	M_B3Z	39563	987	2977
534		M_B3Z	22387	805	2648
536		H_Ramos	305	1184	9401
537		M_B3Z	61881	1725	4843
538		H_Ramos	416	1596	16401
539		Undetermined	409	1540	4549
540	0_99	H_Ramos	532	1511	29195
541		M_B3Z	26141	1534	5075
542		H_Ramos	583	2814	14646
543		H_Ramos	451	1464	15870
544	1_100	H_Ramos	407	1145	8313
545		H_Ramos	538	2198	15220
546		H_Ramos	476	1554	14659
547	0_100	H_Ramos	506	1450	21548
548	0_100	M_B3Z	8240	1401	4440
549		Undetermined	65432	2398	4873
553		M_B3Z	40514	1545	4169
555	1_101	H_Ramos	311	1022	16124
556	1_101	H_Ramos	367	1222	13082
557	0_101	M_B3Z	41993	1766	4596
558		M_B3Z	28467	2943	5664
559		H_Ramos	469	1943	18709
560		H_Ramos	479	1418	23371
561	0_102	M_B3Z	65432	2001	4567
562		H_Ramos	603	1731	9173
563		M_B3Z	61438	1703	4272
564	1_103	M_B3Z	63007	1431	3367
565		M_B3Z	34660	1562	4095
566		M_B3Z	23809	2201	4981
567		M_B3Z	40417	1453	4087
568	0_103	H_Ramos	388	1090	16325
572		H_Ramos	433	1341	20075
573	0_104	M_B3Z	56482	1829	4593
574	1_104	M_B3Z	59576	1707	3641
575		H_Ramos	490	1526	27011
576		Undetermined	315	1106	5782
577	0_105	H_Ramos	432	1472	21292
578	0_105	M_B3Z	53921	1849	4259
579		H_Ramos	406	1927	11688
580	0_106	Undetermined	388	1327	8409
582	1_106	Undetermined	201	811	7602
583	1_106	M_B3Z	16043	973	2198
589		M_B3Z	45516	2054	4577
591		H_Ramos	416	2243	15729
592		H_Ramos	477	2111	18804
593		M_B3Z	34638	2064	4652
594		M_B3Z	53901	2290	4734
595		M_B3Z	52743	1963	4112
596	1_107	M_B3Z	65434	2181	4193
597	1_107	M_B3Z	2101	1603	4065
598	1_107	H_Ramos	382	1522	17238
599	0_107	H_Ramos	470	1945	31584
600		Undetermined	452	2090	5448
601	0_108	M_B3Z	65431	2508	4811
602	1_108	M_B3Z	37992	1792	3788
603		H_Ramos	604	3329	13394
604	0_108	M_B3Z	39944	2018	4379
605		H_Ramos	472	1883	14335
609	0_109	M_B3Z	65434	2368	4698
610	0_109	M_B3Z	36989	2108	4576
611	0_109	H_Ramos	469	2244	15887
612	1_109	H_Ramos	361	1704	16673
613		Undetermined	32250	2891	16462
614		M_B3Z	46296	2684	5149
615	0_109	H_Ramos	448	1990	31682
616		M_B3Z	65053	2951	5538
617		M_B3Z	39332	2118	4415
618		H_Ramos	508	3143	14419
619	0_110	M_B3Z	63214	3101	5649
620		H_Ramos	668	4172	18524
621		M_B3Z	65434	3223	5742
622		H_Ramos	670	4104	18415
623	0_111	H_Ramos	621	2954	23274
624		M_B3Z	28230	3567	5784
627	0_112	M_B3Z	45585	65437	65437
628	0_112	M_B3Z	48892	65438	65438
630		Undetermined	26608	65438	65438
631		Undetermined	30967	65438	65438
634		M_B3Z	37681	65438	65438
635		M_B3Z	46655	65438	65438
636		Undetermined	61752	3133	5033
637	3_1	Undetermined	60779	1916	4280
638	2_1	Undetermined	65435	2485	4505
639	2_2	M_B3Z	55377	1352	3837
640	2_2	H_Ramos	513	1125	12221
641	2_2	M_B3Z	44983	1272	3685
642	3_2	M_B3Z	15923	1095	3490
643	2_2	H_Ramos	495	1096	18581
644	2_2	H_Ramos	451	1189	14050
645	3_2	Undetermined	454	954	6886
649	2_3	M_B3Z	43709	729	2602
650	3_3	M_B3Z	35355	820	2580
651	3_3	M_B3Z	38198	714	2616
653	2_4	M_B3Z	65432	791	2956
654	3_4	M_B3Z	49540	747	2758
655		H_Ramos	413	966	18515
656	2_5	H_Ramos	368	685	19162
657	2_5	H_Ramos	384	622	12961
658	3_5	M_B3Z	63825	872	2388
663		M_B3Z	65433	781	2377
664	3_6	M_B3Z	65433	940	2737
665	3_6	H_Ramos	458	634	23088
666	2_6	M_B3Z	3106	722	3244
667	3_6	M_B3Z	65434	860	2791
668		M_B3Z	43031	980	2894
670	2_7	H_Ramos	456	650	11513
671	2_7	M_B3Z	52991	942	3353
672	2_7	H_Ramos	525	697	21209
673	3_8	Undetermined	397	746	5155
674	2_8	M_B3Z	28878	744	2660
677	3_8	M_B3Z	33111	989	2748
678		M_B3Z	1365	1013	3383
679		Undetermined	356	707	2657
680	2_9	M_B3Z	35401	830	3256
681	3_9	H_Ramos	435	723	15863
682		M_B3Z	42324	1165	3208
683	3_9	M_B3Z	4736	872	3252
684	2_9	M_B3Z	64513	969	3238
685		H_Ramos	358	643	10754
686	3_10	H_Ramos	417	744	15641
687	2_10	H_Ramos	407	775	18266
689	2_11	H_Ramos	347	696	16404
692	3_11	H_Ramos	537	920	20263
693	3_11	M_B3Z	7682	1075	3232
694	3_11	Undetermined	439	1069	7438
695	2_11	H_Ramos	379	832	19378
696	2_11	H_Ramos	423	869	26122
697		Undetermined	379	795	2959
698	2_12	M_B3Z	39496	1067	3287
699	2_12	M_B3Z	65433	1143	3362
700	2_12	H_Ramos	422	927	14262
701	2_12	H_Ramos	424	865	15760
702	3_13	H_Ramos	385	851	20589
703	3_13	M_B3Z	28469	879	2783
704	2_13	M_B3Z	21804	941	2843
705		Undetermined	301	654	2356
709	3_14	M_B3Z	65434	1339	3636
710	2_14	M_B3Z	64444	1232	3690
711	2_14	M_B3Z	61762	1256	3689
712		M_B3Z	58742	1161	3211
713	2_15	M_B3Z	65433	1440	3627
714	3_15	M_B3Z	65432	1422	3709
715	3_15	H_Ramos	459	1006	26044
716	2_15	H_Ramos	437	1040	19472
717	2_15	H_Ramos	436	966	12972
718		Undetermined	341	1324	3803
719	3_16	M_B3Z	45296	1104	3212
720	3_16	H_Ramos	426	963	16062
721	2_16	M_B3Z	65432	1243	3423
722	2_16	M_B3Z	11429	1049	4365
723	2_16	H_Ramos	576	918	11209
724	3_16	H_Ramos	437	896	12329
725	3_16	M_B3Z	41161	1001	3023
732	2_17	H_Ramos	396	880	18438
733		H_Ramos	411	886	15747
735		Undetermined	368	1159	4819
737		H_Ramos	353	929	14212
738		H_Ramos	449	1161	12619
739	2_19	M_B3Z	35001	1107	3410
740		M_B3Z	62669	1235	3614
741	2_20	H_Ramos	457	1015	25770
742	2_20	M_B3Z	49353	1148	3669
743	2_20	M_B3Z	2678	1035	3747
744		M_B3Z	65430	966	2880
745	2_20	H_Ramos	425	982	18165
746	2_21	M_B3Z	50101	1190	3563
747		Undetermined	311	908	3134
748		Undetermined	299	895	3152
749		H_Ramos	330	852	12191
750		H_Ramos	357	695	11438
751	3_21	M_B3Z	54256	917	2747
757	3_22	H_Ramos	348	761	15410
758		H_Ramos	409	1118	9889
759	2_22	M_B3Z	65434	1287	5422
760		Undetermined	379	1177	5397
761	2_23	H_Ramos	388	911	17997
762	3_23	H_Ramos	384	904	24266
763		Undetermined	545	1135	4983
764	2_23	H_Ramos	410	960	17134
765	3_23	Undetermined	413	923	5314
766	2_23	H_Ramos	386	854	16881
767	2_23	M_B3Z	65433	1243	5329
768		H_Ramos	387	1067	18015
769	3_23	M_B3Z	61714	1017	4841
770		M_B3Z	28337	968	4660
771	2_24	M_B3Z	63354	1165	4759
772	2_24	Undetermined	1039	938	16688
775		M_B3Z	59870	1168	3505
776		Undetermined	338	784	3942
777		H_Ramos	423	995	19356
778	2_25	H_Ramos	423	908	10696
779		Undetermined	441	1461	3662
780		Undetermined	461	1534	3684
781	3_26	M_B3Z	57099	985	3387
782	2_26	M_B3Z	44072	996	3225
783		H_Ramos	378	707	18805
784	2_27	H_Ramos	357	769	17587
786	3_28	M_B3Z	39177	835	2931
787		H_Ramos	406	808	20916
788	3_29	M_B3Z	28506	975	2939
789	3_29	Undetermined	324	648	2763
790	3_29	Undetermined	334	656	2814
791		M_B3Z	60175	1309	3116
792		Undetermined	332	619	2745
793		Undetermined	399	1301	4611
794		H_Ramos	274	566	16587
797	2_30	H_Ramos	418	941	7953
798		H_Ramos	390	904	15249
799		Undetermined	345	857	3578
800	2_31	M_B3Z	64159	1299	4051
801		H_Ramos	406	1000	28208
805		Undetermined	2266	972	3702
806		M_B3Z	27692	991	6073
807	3_33	H_Ramos	384	793	14921
808		Undetermined	320	811	3552
809	2_33	Undetermined	338	910	3994
810	3_35	H_Ramos	319	691	15903
811	2_35	H_Ramos	353	767	21182
812	2_35	M_B3Z	46170	930	3124
816	3_36	M_B3Z	42790	1158	3119
817	3_36	M_B3Z	65433	1125	3533
818	2_36	M_B3Z	40445	1247	3892
819	3_37	M_B3Z	47682	987	3550
820	3_37	H_Ramos	386	810	18998
821		Undetermined	307	879	3524
822		M_B3Z	48358	1105	3409
824	2_38	M_B3Z	44166	921	3294
826	2_38	H_Ramos	315	712	13337
828		H_Ramos	393	897	16917
830		M_B3Z	16024	949	3807
832		H_Ramos	406	1157	9271
833	2_39	M_B3Z	51832	1154	4253
834	3_39	Undetermined	333	809	3732
835		Undetermined	343	810	3770
837	3_40	M_B3Z	12225	862	3341
838		M_B3Z	54158	1108	3914
841		Undetermined	322	797	3512
842	2_41	Undetermined	346	817	3558
844	3_42	H_Ramos	353	803	19124
845	3_42	H_Ramos	380	810	18054
846		H_Ramos	374	818	14932
847		H_Ramos	376	846	13261
848		H_Ramos	332	741	12226
849		Undetermined	390	933	3400
850		M_B3Z	53362	1160	3453
851	2_43	M_B3Z	49970	995	3230
852	3_43	M_B3Z	31272	828	2593
856		Undetermined	2738	916	3327
857	2_44	M_B3Z	65434	1184	3773
858	2_44	M_B3Z	9066	1013	3861
859	2_44	H_Ramos	437	942	16106
860	3_44	H_Ramos	466	1073	32353
861		Undetermined	351	756	3502
862	3_46	H_Ramos	335	736	9289
864	2_46	M_B3Z	43220	904	3361
867		M_B3Z	54466	1006	3599
868		Undetermined	313	717	3434
870		Undetermined	293	702	3378
871		M_B3Z	39279	1063	4224
873	2_47	Undetermined	363	845	4016
874		Undetermined	337	763	3757
875	3_48	M_B3Z	37913	907	3356
876	3_48	M_B3Z	25777	809	3143
877		Undetermined	286	640	3068
878		Undetermined	278	1009	3302
879	3_49	H_Ramos	299	703	15110
880	3_49	M_B3Z	28179	788	2517
881	3_49	Undetermined	266	581	3041
884		Undetermined	238	648	2593
885	3_50	H_Ramos	325	767	12156
886	2_50	M_B3Z	27822	1078	3677
887	3_50	H_Ramos	373	722	14436
888		Undetermined	319	783	3721
889	2_51	H_Ramos	386	833	13002
890	3_51	H_Ramos	303	695	17607
891	2_51	H_Ramos	388	785	18198
892	3_51	H_Ramos	292	670	20768
894		H_Ramos	311	940	21165
895		Undetermined	284	594	2856
897		Undetermined	277	563	2771
904	3_52	M_B3Z	57506	859	3242
905	3_52	H_Ramos	328	781	17685
906		Undetermined	272	697	3421
907		Undetermined	281	700	3384
908	2_53	H_Ramos	448	1073	15498
909	2_53	H_Ramos	404	872	21423
910	3_53	M_B3Z	54169	1020	3670
911	3_53	H_Ramos	395	812	10380
912	3_53	H_Ramos	319	747	16033
914	3_54	H_Ramos	316	708	31037
915	3_54	H_Ramos	287	665	8746
918		M_B3Z	59904	1124	3609
919		M_B3Z	10686	1570	4000
920	2_55	M_B3Z	57491	978	3786
921	2_55	M_B3Z	9722	1103	4064
922	3_55	H_Ramos	319	752	14151
923	2_55	H_Ramos	366	815	20144
924	2_55	H_Ramos	396	851	16210
925		M_B3Z	65434	1139	3784
