Cell_Index_Global	Cage_ID	Cell_Type	Median_intensity_FITC	Median_intensity_TRITC	Median_intensity_Cy5
4443		H_Ramos	348	610	19787
4444		H_Ramos	334	627	21934
4445	14_16	M_B3Z	17686	821	3452
4446	15_16	M_B3Z	14810	638	3071
4447	14_16	H_Ramos	342	685	27097
4449	15_17	H_Ramos	357	634	22046
4450	14_17	H_Ramos	402	760	19971
4451		M_B3Z	65433	1133	3810
4452		H_Ramos	353	638	18581
4453		Undetermined	331	790	5363
4454	14_18	M_B3Z	65431	944	3924
4455		Undetermined	302	595	3378
4456		H_Ramos	495	1526	8426
4457		H_Ramos	349	653	15530
4458	15_19	M_B3Z	65433	995	3444
4461		Undetermined	333	706	3199
4462	14_20	H_Ramos	383	737	21919
4463	15_21	M_B3Z	61635	879	3465
4464	15_21	H_Ramos	544	959	13523
4465	15_21	M_B3Z	64402	1039	3478
4466		Undetermined	359	658	3401
4467	14_21	H_Ramos	379	741	15536
4469		H_Ramos	377	742	16364
4470	14_23	H_Ramos	428	811	27508
4471	14_23	H_Ramos	409	759	17298
4472	15_23	H_Ramos	351	656	18147
4473	15_24	M_B3Z	47179	1013	3785
4474	14_24	Undetermined	423	895	4121
4475	14_24	H_Ramos	365	735	16047
4476		Undetermined	279	588	2921
4477	14_24	H_Ramos	371	731	11764
4478		Undetermined	348	880	3241
4479		M_B3Z	6379	998	3427
4480	14_24	M_B3Z	59919	998	3308
4481		H_Ramos	327	596	9909
4482	15_25	H_Ramos	255	514	11375
4486	15_25	M_B3Z	65435	1115	3463
4487	15_25	M_B3Z	57981	880	3420
4488		M_B3Z	54793	915	3432
4489	15_26	M_B3Z	47219	875	3539
4490	15_26	H_Ramos	411	752	19211
4491	15_26	H_Ramos	388	722	21744
4492	14_26	H_Ramos	416	806	34711
4493		Undetermined	269	602	2792
4494	15_27	M_B3Z	65434	940	3072
4495	14_27	M_B3Z	34976	792	2946
4496	14_27	H_Ramos	393	658	18867
4498	14_27	M_B3Z	56697	815	2911
4502		M_B3Z	25252	741	2928
4504	14_28	M_B3Z	50444	1095	3722
4505	14_28	H_Ramos	403	824	20192
4506	14_28	Undetermined	360	824	4038
4507	15_29	H_Ramos	333	755	23248
4508		H_Ramos	314	745	16177
4509	15_31	H_Ramos	345	764	13721
4510	14_31	M_B3Z	40621	1014	4308
4511	14_32	H_Ramos	361	866	15942
4513	14_33	H_Ramos	298	687	13366
4514		Undetermined	323	829	4049
4516	14_34	H_Ramos	403	970	24308
4517	15_34	H_Ramos	338	813	15210
4518	14_34	M_B3Z	51873	1091	4426
4519		M_B3Z	51265	1252	4478
4520		M_B3Z	24998	1070	4358
4521	14_35	H_Ramos	341	816	14789
4525	14_36	H_Ramos	381	969	16241
4527		M_B3Z	37682	1085	3990
4528		Undetermined	460	1327	8478
4529	14_37	M_B3Z	39993	1074	4139
4530		M_B3Z	39143	1161	4066
4531	14_37	M_B3Z	52379	1043	3889
4532	14_38	M_B3Z	44488	885	3519
4533	14_38	H_Ramos	353	805	9205
4534	15_38	H_Ramos	322	775	14224
4535	15_38	H_Ramos	341	2265	21557
4536	15_38	H_Ramos	320	724	13226
4537	14_38	Undetermined	435	1059	4924
4538	14_38	H_Ramos	341	800	12866
4539	14_38	H_Ramos	350	812	13885
