	H_UMIs_cage	M_UMIs_cage	Cell_type_img
0_2	24	138	Undetermined_cells
0_4	169	35	Human
0_11	21	425	Mouse
0_14	31	402	Mouse
0_18	120	16	Human
0_20	5	582	Mouse
0_21	32	287	Mouse
0_22	6	317	Mouse
0_25	4	388	Mouse
0_40	6	183	Mouse
0_41	91	17	Undetermined_cells
0_57	6	281	Mouse
0_86	3	357	Mouse
0_87	27	398	Mouse
0_96	8	153	Mouse
0_101	0	421	Mouse
0_102	72	401	Mouse
0_110	0	193	Mouse
1_1	4	305	Mouse
1_3	9	266	Mouse
1_4	29	638	Mouse
1_16	8	160	Mouse
1_19	4	72	Mouse
1_35	152	6	Human
1_38	6	160	Mouse
1_41	41	7	Human
1_43	113	8	Human
1_50	3	141	Mouse
1_56	5	156	Mouse
1_72	4	187	Mouse
1_73	8	96	Mouse
1_87	25	158	Mouse
1_103	8	137	Mouse
1_104	6	246	Mouse
1_111	80	15	Human
2_1	115	579	Undetermined_cells
2_6	47	299	Mouse
2_22	7	167	Mouse
2_26	8	149	Mouse
2_36	9	144	Mouse
2_39	5	120	Mouse
2_43	11	120	Mouse
2_46	0	101	Mouse
2_47	0	7	Undetermined_cells
2_60	3	254	Mouse
2_61	3	129	Mouse
2_64	51	214	Mouse
2_73	3	22	Human
2_84	243	11	Human
2_93	85	13	Human
2_98	8	71	Mouse
2_101	6	201	Human
2_110	55	276	Human
3_1	6	288	Undetermined_cells
3_4	12	684	Mouse
3_10	95	14	Human
3_22	75	8	Human
3_28	3	92	Mouse
3_41	53	7	Human
3_43	0	40	Mouse
3_44	1	15	Human
3_46	1	15	Human
3_62	139	16	Human
3_63	4	172	Mouse
3_66	2	152	Mouse
3_68	7	260	Mouse
3_75	5	172	Mouse
3_81	9	69	Undetermined_cells
3_86	3	182	Mouse
3_93	4	254	Mouse
3_95	11	269	Mouse
3_102	113	9	Human
3_112	8	162	Mouse
4_8	2	122	Mouse
4_16	9	358	Mouse
4_23	47	274	Mouse
4_28	2	178	Mouse
4_36	5	102	Mouse
4_74	3	270	Mouse
4_86	116	4	Human
4_97	7	98	Mouse
4_107	2	409	Mouse
4_111	2	226	Mouse
5_3	3	385	Mouse
5_4	21	407	Mouse
5_10	1	185	Mouse
5_12	106	10	Human
5_13	45	268	Mouse
5_28	199	9	Human
5_34	183	14	Human
5_37	60	6	Undetermined_cells
5_42	20	182	Mouse
5_51	1	172	Mouse
5_56	48	346	Mouse
5_62	4	324	Mouse
5_71	6	204	Mouse
5_86	16	142	Mouse
5_96	104	12	Human
5_100	0	235	Mouse
5_103	0	427	Mouse
5_109	61	12	Human
6_5	2	34	Undetermined_cells
6_42	2	129	Mouse
6_45	47	227	Mouse
6_54	0	133	Mouse
6_72	3	233	Mouse
6_81	2	413	Mouse
6_84	2	330	Mouse
6_91	15	223	Mouse
6_96	8	190	Mouse
6_99	3	177	Mouse
6_100	174	12	Human
6_103	3	241	Mouse
6_107	75	17	Human
6_111	89	2	Undetermined_cells
7_10	10	429	Mouse
7_25	9	178	Mouse
7_27	74	19	Human
7_28	4	152	Mouse
7_37	0	179	Mouse
7_57	2	109	Mouse
7_79	3	13	Mouse
7_89	6	232	Mouse
7_93	0	141	Mouse
7_97	0	727	Mouse
7_98	9	419	Mouse
7_99	84	9	Human
7_110	5	303	Mouse
8_11	27	377	Mouse
8_23	18	112	Mouse
8_27	5	91	Mouse
8_31	59	255	Mouse
8_43	87	19	Human
8_44	1	190	Mouse
8_47	6	260	Mouse
8_51	79	6	Human
8_53	0	106	Mouse
8_62	3	163	Mouse
8_65	91	5	Human
8_77	161	8	Human
8_80	24	3	Human
8_90	5	154	Mouse
8_97	9	214	Mouse
8_100	4	400	Mouse
9_10	30	282	Mouse
9_13	3	204	Mouse
9_29	106	27	Human
9_30	4	208	Mouse
9_33	3	93	Mouse
9_38	0	139	Mouse
9_39	1	170	Mouse
9_66	3	120	Mouse
9_76	2	256	Mouse
