	UMAP1_sc	UMAP2_sc	Clusters_sc	Cell_type_img	UMAP1_CP_sc	UMAP2_CP_sc	Clusters_CP_sc	UMAP1_bimodal_sc	UMAP2_bimodal_sc	Clusters_bimodal_sc
3_66	12.927665	6.565015	2	Mouse	11.071568	0.88576	0	10.213328	2.0380664	7
3_68	5.416693	4.856067	1	Mouse	3.958615	9.403648	2	-0.31817922	-1.4426147	0
3_75	11.765948	8.099069	2	Mouse	6.778153	1.3825008	1	-4.6018863	0.9876355	0
3_81	9.333535	6.382875	2	Undetermined_cells	4.884559	-4.566422	1	-1.0874488	-0.7140187	0
3_86	9.604321	5.6976247	1	Mouse	6.354104	-5.026709	1	-2.3132813	1.9100342	2
3_93	8.629978	-0.60749024	1	Mouse	-1.3827323	6.4078097	3	-1.811422	3.6610427	2
3_95	4.8359184	6.8099294	0	Mouse	9.791803	2.921612	0	0.72171265	-3.3930852	1
3_112	7.180932	3.2136688	1	Mouse	5.6791806	9.671456	2	0.1568408	-3.6009743	1
4_8	12.017324	4.4143047	1	Mouse	5.2013774	6.7721515	2	-2.3467953	-2.899948	1
4_16	7.692046	2.611898	1	Mouse	5.1794567	-3.4635413	1	-3.369234	-0.22696353	6
4_23	5.4741035	-1.3317614	1	Mouse	8.856726	0.2663905	0	-0.61285496	-3.1036804	1
4_28	10.311448	9.109286	2	Mouse	10.157142	1.9338597	0	-3.576712	3.7367282	2
4_36	14.400572	6.4820905	2	Mouse	9.513131	3.1600847	0	-4.585603	1.3412781	0
4_74	8.818947	2.2192626	1	Mouse	8.884734	1.3102365	0	-3.005808	1.7675092	2
4_97	11.27984	0.2990925	1	Mouse	10.554334	-0.44909167	0	-2.1667964	-0.9335443	0
4_107	6.8801413	3.566416	1	Mouse	8.1642685	-5.3860607	1	2.3722088	-4.5369196	5
4_111	9.184503	-0.45265886	1	Mouse	14.859375	0.91976625	0	-2.984239	2.515603	2
5_3	7.4785585	3.9088209	1	Mouse	14.363291	-0.84114	0	-5.271929	0.38648337	6
5_4	7.167776	7.65513	2	Mouse	10.77251	-3.21296	0	-2.1692681	3.7848763	2
5_10	10.084189	2.7496877	1	Mouse	11.503554	6.969831	0	-2.6108546	-1.2321036	4
5_12	-2.5870059	0.8197337	0	Human	10.675046	6.445385	0	2.8890293	2.7663627	3
5_13	1.7028453	2.8624606	0	Mouse	8.084113	0.31456566	0	-0.57364047	-0.8742114	4
5_28	-3.9216175	2.7920969	0	Human	4.023499	9.151265	2	2.086978	2.2492867	3
5_34	-4.3904605	3.0097618	0	Human	8.2973995	-4.7444935	1	2.4636095	3.096359	3
5_37	-1.0606955	1.2399263	0	Undetermined_cells	5.9862046	6.881713	2	1.4032402	3.5706313	3
5_42	7.2734103	-0.51371807	1	Mouse	9.21412	-2.2448015	0	-4.719474	0.6162956	6
5_51	13.538406	6.714409	2	Mouse	10.861542	5.1458898	0	0.92958224	-1.1644228	4
5_56	4.5040402	0.5925586	1	Mouse	14.059115	5.2072067	0	-2.5822115	-3.2245593	1
5_62	9.355931	3.500302	1	Mouse	13.758101	3.0140564	0	-3.1180177	-2.8775725	1
5_71	9.102601	-0.8347716	1	Mouse	-1.5297546	6.8909817	3	-0.83473927	-2.7828777	1
5_86	9.582606	7.8181357	2	Mouse	9.832901	-2.03374	0	-1.4616734	2.602298	2
5_96	-3.4176612	1.7972784	0	Human	4.9441195	6.953185	2	3.9435945	4.091365	3
5_100	10.828683	5.4409037	1	Mouse	8.893272	1.9997648	0	2.072319	-1.2768722	4
5_103	6.5314507	6.6158285	1	Mouse	10.961159	-1.1257116	0	2.1213598	-4.848815	5
5_109	-1.3566707	3.4309828	0	Human	9.66617	4.17285	0	3.4838204	3.9360974	3
6_5	15.172322	2.8083298	2	Undetermined_cells	2.456736	9.809897	2	-5.012659	-1.7383658	6
6_42	12.080448	6.9953685	2	Mouse	10.9934025	1.4129698	0	-2.0110111	0.9757563	0
6_45	1.322611	1.5124096	0	Mouse	4.8486032	-3.4855692	1	0.05119761	0.027592354	0
6_54	12.87254	2.9656875	1	Mouse	2.0954008	9.600847	2	-2.2373176	-2.2558634	1
6_72	6.9895267	2.437111	1	Mouse	8.763722	1.8726677	0	2.7169027	-3.2611072	5
6_81	4.947822	2.0394442	1	Mouse	9.469797	-4.9455094	1	2.5834918	-3.9852703	5
6_84	7.891595	2.9972851	1	Mouse						
6_91	9.973114	2.0387838	1	Mouse	12.609335	1.1821822	0	-2.4248884	1.926216	2
6_96	9.295878	9.217009	2	Mouse	7.1922746	-0.6219961	0	-3.78065	-1.1911407	6
6_99	9.686962	6.633991	2	Mouse	7.342873	1.4691594	1	2.2259893	-0.6625033	4
6_100	-4.566442	3.086975	0	Human	8.629019	6.659331	2	3.856684	2.3858206	3
6_103	9.349426	4.6796637	1	Mouse	6.5597477	-2.4484975	1	-1.1441033	2.5166154	2
6_107	-2.9870806	2.9766808	0	Human	10.214976	-0.38283792	0	3.6235466	3.145748	3
6_111	-2.4794362	0.6704087	0	Undetermined_cells	10.102002	2.9230368	0	2.967597	3.2693338	3
7_10	8.17425	-0.61592424	1	Mouse	9.026198	1.3641864	0	-0.70833707	0.103643544	4
7_25	9.688283	8.250982	2	Mouse	10.998188	-0.03994885	0	2.7311666	-0.98503625	4
7_27	-1.6137238	3.4841864	0	Human	6.687432	6.04851	2	0.34444386	1.8588457	4
7_28	8.772181	1.9056304	1	Mouse	11.434337	-0.5753381	0	-3.3136823	0.62261987	0
7_37	8.949742	7.120722	2	Mouse	5.2700334	-3.9559393	1	-3.327138	2.7668006	2
7_57	14.427535	7.3517847	2	Mouse	4.789752	7.1300225	2	-2.0691006	-4.3510046	1
7_79	15.235641	6.293606	2	Mouse	7.581515	-2.5263612	1	-1.8580163	-1.6002468	4
7_89	10.458811	1.5266886	1	Mouse	9.974636	0.16187753	0	-2.4311016	-4.145825	1
7_93	13.041217	7.670048	2	Mouse	10.714709	5.5687914	0	0.16834761	-1.6195081	0
7_97	4.449455	2.7970471	1	Mouse	7.084328	-1.4304398	1	-0.2952002	-0.77084106	0
