	All single-cell cages	Human single-cell cages	Murine single-cell cages
Cage count	1,940	817	1,123
Global UMI count	511,295	160,406	350,889
Median cage UMI count	226	161	280
Global unique gene count	18,931	13,961	14,624
Median cage unique gene count	171	122	213
