	UMAP1_sc	UMAP2_sc	Clusters_sc	Cell_type_img	UMAP1_CP_sc	UMAP2_CP_sc	Clusters_CP_sc	UMAP1_bimodal_sc	UMAP2_bimodal_sc	Clusters_bimodal_sc
1_18	4.0753336	0.3376291	0	Human	7.2782297	9.141881	0	6.605092	1.1060292	0
2_12	9.514473	1.1064644	2	Mouse	7.8648176	6.4558797	0	-0.39725423	5.845634	1
2_22	3.421089	0.34109423	0	Human	9.318574	4.738307	0	2.988695	-1.2122762	2
2_31	5.212372	-0.21232517	2	Human	10.790546	4.2275786	0	5.9213343	7.599207	3
2_32	4.589478	4.586384	0	Mouse	10.55286	4.982061	0	-0.089549154	2.4407809	4
2_33	-1.1615216	7.424434	1	Mouse	10.371196	7.2602696	0	1.810685	1.9452378	5
2_37	1.9260898	6.2440815	1	Human	6.063855	10.134502	0	5.2850547	-2.2902455	0
2_54	1.2104409	-1.0352929	0	Human	13.009258	4.888301	0	4.060974	-2.3252697	2
2_57	7.742004	1.4387112	2	Mouse	11.687284	10.91792	0	0.29476076	7.8964186	1
2_60	3.8398547	6.435232	1	Human	7.138501	9.993344	0	1.6046373	-3.196168	2
2_62	-2.148164	0.40052858	1	Human	13.834942	7.6066694	0	4.474295	3.1749823	6
2_75	4.4128838	7.0651464	1	Undetermined_cells	5.676668	11.1914625	1	6.59991	-1.7287956	0
2_80	0.70709693	-0.8536176	0	Human	8.978495	10.351715	0	5.008899	7.6263547	3
2_81	3.424379	-0.060531322	0	Mouse	11.737108	10.724238	0	-1.9832153	0.13428177	4
2_85	0.58197314	-0.8081195	0	Human	10.802539	9.268856	0	3.6071925	0.4050995	5
2_89	8.457365	1.4677454	2	Mouse	0.05542873	5.2179966	1	1.2307866	7.9143887	7
2_91	2.3388605	-0.51512766	0	Human	6.2393312	6.7110343	0	21.788029	-1.0065504	8
2_109	9.3189745	4.948508	2	Undetermined_cells	8.063798	12.201655	0	0.92031765	5.60335	1
3_10	4.157541	3.258347	0	Human	-0.31371707	5.286709	1	-2.3967412	2.0294757	4
3_31	2.5226278	0.06462862	0	Human	10.939184	9.55399	0	21.088972	-0.77676	8
3_32	3.3400917	0.05482714	0	Mouse	9.171563	9.463618	0	-2.5425205	-0.30994523	4
3_33	2.0296876	-0.8784639	0	Human	9.728622	10.774318	0	1.4176754	0.7113074	5
3_34	6.362847	6.3844385	1	Human	9.951523	7.1176925	0	21.38856	-0.91808486	8
3_43	3.840254	2.2694101	0	Human	8.328701	12.915783	0	2.1684458	-3.052131	2
3_49	2.7147973	0.35322315	0	Human	15.902552	6.9643984	0	3.287581	-2.0428655	2
3_51	-3.0302317	0.82419103	1	Mouse	12.822179	7.1822014	0	4.7207446	2.7607782	6
3_57	3.665755	-0.11573871	0	Human	12.149914	3.3577702	0	3.875264	2.266779	6
3_58	6.0573483	7.719898	1	Mouse	10.368081	-0.65789634	3	6.5763154	-1.5158503	0
3_59	-0.298237	-0.56028014	0	Human	7.4471297	10.72888	0	1.9739641	-1.3739724	2
3_60	6.183707	2.4646564	0	Mouse	11.501486	10.566709	0	4.621629	-1.0635895	0
3_62	3.4429393	-0.81302196	0	Human	7.593732	4.041481	0	5.7819166	3.936332	6
3_63	-0.22754264	-0.51534116	0	Mouse	7.511917	7.810713	0	7.275248	5.8689923	3
3_65	2.7425487	1.6011701	0	Human	7.987085	4.1876564	0	3.4839244	3.002724	6
3_70	8.432045	4.3592176	2	Undetermined_cells	8.425703	8.543638	0	-1.3278867	1.3265495	4
3_72	-4.2463	2.255867	1	Human	9.794439	3.3224583	0	1.0705191	-3.054728	2
3_82	1.2354685	1.014843	0	Human	12.9551735	9.198501	0	4.5790443	3.845458	6
3_85	4.6664085	3.5956392	0	Human	8.938579	7.4593706	0	3.4918141	2.3211515	6
3_91	3.7875497	-0.26316696	0	Human	10.623124	7.9179716	0	1.4221559	-1.2314544	2
3_98	1.9617815	-0.94245696	0	Human	9.0519495	9.065791	0	1.6322625	2.117481	5
3_102	1.9727498	-1.0124013	0	Human	7.5614624	3.4629843	0	3.1716735	-3.365703	2
3_107	4.8780775	8.433037	1	Mouse	9.449477	6.1780376	0	5.496711	-1.460711	0
3_111	4.7490354	-0.2116659	0	Mouse	0.15030466	5.133308	1	4.3147607	2.0807254	6
3_112	-1.1899742	3.3869588	1	Undetermined_cells	6.833048	6.397238	0	3.446499	-2.5962696	2
4_11	1.1749854	-0.11647544	0	Mouse	10.078468	6.8525233	0	-0.036124833	2.3456483	4
4_25	-0.047314156	-0.51582736	0	Human	10.335307	1.8083829	0	5.6111183	2.5858583	6
4_26	4.082608	0.13012347	0	Undetermined_cells	3.2856667	5.457995	3	2.4318357	2.509758	5
4_27	5.6106377	0.121030524	2	Human	7.1415834	9.355454	0	1.8389269	2.4409678	5
4_35	2.3267653	1.3245196	0	Human	9.689993	5.8365736	0	0.68944687	2.4799163	5
4_43	6.3840704	5.430597	1	Human	8.799632	8.396387	0	6.0420885	7.877579	3
4_45	1.592481	9.747588	1	Undetermined_cells	8.299027	4.4540486	0	1.2418307	-0.45771158	2
4_46	5.387015	8.349539	1	Mouse	10.649443	4.826892	0	4.522535	8.554315	3
4_48	3.610341	-0.78312063	0	Mouse	11.060874	1.9639643	0	1.8642155	4.1922674	7
4_49	0.92914045	1.8013421	0	Human	15.092923	5.473857	0	-1.3546531	0.17779453	4
4_57	6.373231	4.394974	0	Mouse	11.558362	10.948996	0	1.0527319	2.2286482	5
4_66	3.1505518	-1.037764	0	Human	7.508154	-1.0744045	3	4.6347857	3.3342474	6
4_69	2.9801838	-1.0191815	0	Human	11.456553	6.814527	0	4.922816	0.82620573	0
4_74	3.636797	-0.58259445	0	Human	7.175593	3.8505998	0	4.677189	-2.4020255	2
4_76	2.946571	-0.98690164	0	Undetermined_cells	3.1282086	6.754479	1	-2.0886855	2.1189024	4
4_79	2.60727	10.092508	1	Human	13.624874	4.677647	0	1.1979179	-1.292573	2
4_80	0.38019663	0.107631765	0	Human	11.158846	7.074135	0	22.185963	-0.477366	8
4_81	-0.3734795	3.661878	1	Mouse	8.97148	0.79247624	3	-0.40843883	1.3179153	4
4_98	1.2138264	-0.54886526	0	Human	10.820527	9.989948	0	2.8279355	-0.1877563	2
4_100	2.2010896	1.9578129	0	Human	10.686381	3.9721472	0	3.2886002	-0.7894056	2
4_104	2.250223	-0.04266137	0	Human	8.409104	6.8131566	0	5.34645	4.2140803	6
4_108	0.98452944	0.8670157	0	Human	5.833762	10.040144	0	4.2976093	1.7375516	6
5_22	5.5526752	4.107732	0	Human	9.292499	5.991767	0	-2.819276	1.8389219	4
5_32	8.603403	7.1735086	2	Mouse	7.69606	-0.101886585	3	-2.3287933	-0.42160487	4
5_49	6.55124	4.8227544	1	Mouse	12.403095	7.2093196	0	-1.5431311	2.3188999	4
5_67	2.187541	-0.50425404	0	Human	7.6268034	4.018204	0	2.3385363	0.48294666	5
5_72	6.2988844	3.417156	0	Mouse	6.340024	12.178141	0	4.9108195	1.3029723	0
5_76	3.9365547	-0.7180246	0	Undetermined_cells	7.1506934	10.656253	0	3.4990838	-2.9439676	2
5_79	5.9784055	8.048919	1	Undetermined_cells	7.8912625	-0.4745955	3	1.3640287	2.7871454	5
5_87	1.792455	0.55517334	0	Human	11.9103365	10.733859	0	1.3250097	-2.2707129	2
5_88	8.380621	7.455631	2	Human	13.298965	8.697886	0	-3.5367415	5.229652	1
5_102	4.9415383	4.5701275	0	Mouse	12.388082	7.8285036	0	-1.3813238	1.3809776	4
5_109	7.693164	1.5650091	2	Mouse	9.536934	0.37672523	3	0.8664831	4.2480626	5
6_5	5.1992536	2.3700037	0	Human	8.485596	5.8627434	0	3.3227222	6.0028167	7
6_6	8.306876	0.8510547	2	Mouse	8.839591	5.7766056	0	-0.25115964	7.8922787	1
6_10	1.9511458	2.3586981	0	Undetermined_cells	11.05925	4.671286	0	2.7819834	5.398341	7
6_18	2.6984901	1.1246665	0	Human	7.4501214	9.7005	0	5.2214193	3.1621296	6
6_20	2.0899763	0.22207409	0	Undetermined_cells	3.2017639	4.5150557	3	1.9696009	1.9731001	5
6_21	2.2261055	-0.45193025	0	Undetermined_cells	8.435938	10.494899	0	5.948702	2.6360865	6
6_23	4.2185836	6.610638	1	Human	6.284048	10.209421	0	4.657367	-1.1164958	0
6_34	3.7818072	0.7913576	0	Undetermined_cells	5.3384633	12.571366	1	4.826309	-0.117079005	0
6_38	8.064234	7.327981	2	Undetermined_cells	3.607187	7.3337655	1	-0.16214496	2.497627	4
6_45	6.3849826	0.65978813	2	Human	6.906263	6.852919	0	1.3862987	1.2239664	5
6_49	3.4082966	-0.9095944	0	Human	12.750217	3.9439743	3	-0.006172469	-0.81058365	2
6_53	3.2215097	-0.8159674	0	Human	8.543504	7.021278	0	21.39535	-1.3228002	8
6_65	5.4559956	7.229301	1	Undetermined_cells	10.817888	-0.2627918	3	3.3384671	3.644563	6
6_79	1.5303655	0.961306	0	Undetermined_cells	6.8434167	8.577816	0	-0.1542289	-1.7775973	2
6_86	1.3314239	-1.0530403	0	Undetermined_cells	7.832761	4.4540687	0	5.964263	7.534617	3
6_102	-3.2637413	1.0544467	1	Undetermined_cells	15.541789	6.8317113	0	0.7283053	-1.8081001	2
7_2	-2.4906013	7.6331925	1	Human	9.41702	9.258394	0	1.205602	-2.1354234	2
7_4	-3.3855944	1.2834473	1	Human	7.3701324	8.430941	0	2.523487	4.7097864	7
7_8	2.123481	10.096509	1	Human	9.8482065	3.004083	0	4.9273863	7.480503	3
7_9	3.3003654	-0.49711496	0	Human	7.0072594	8.002501	0	3.9415758	-2.1817236	2
7_19	8.968131	5.376893	2	Mouse	7.488528	4.0131483	0	-0.11664931	7.1784573	1
7_35	1.7918019	-0.6140065	0	Human	9.158727	5.785959	0	2.8609664	0.48569918	5
7_37	11.408454	2.3032148	2	Mouse	12.744264	2.560694	0	2.1674788	6.4681945	7
7_40	-0.9162211	7.7763963	1	Human	8.079529	3.5832965	0	-1.3289715	2.1990328	4
7_45	10.014015	1.0587499	2	Mouse	10.346551	8.453131	0	-2.5568557	2.127771	4
7_80	-1.2411147	3.7883062	1	Undetermined_cells	5.977054	10.811927	0	2.547582	4.3452783	7
7_81	2.9961298	3.4236405	0	Human	12.274113	7.251908	0	0.28705955	-2.5333374	2
7_88	9.3456955	4.892802	2	Mouse	10.903235	4.2184567	0	-0.020228786	4.6531234	1
7_93	0.5132885	6.1615114	1	Human	7.6554074	13.0021305	0	0.43056318	2.1179154	4
7_105	8.436025	5.16972	2	Mouse	11.771099	5.125313	0	3.2168255	7.277871	7
7_112	2.1769314	7.733739	1	Human	11.338302	9.727112	0	2.054344	3.2384915	6
8_5	5.3343086	7.597365	1	Human	12.354474	5.36477	0	6.0710993	0.712223	0
8_9	10.003164	7.9636736	2	Undetermined_cells	4.8359847	10.876465	1	2.4725666	7.8629565	7
8_25	5.4602647	6.1268315	1	Mouse	11.135016	7.148629	0	2.8885949	-2.6637928	2
8_26	5.0055733	0.024865916	0	Human	10.608111	12.6595745	0	4.4010124	8.556639	3
8_28	8.240386	3.4292727	2	Mouse	7.42033	11.898163	0	-0.49736232	4.590837	1
8_31	9.733347	3.8147984	2	Mouse	8.66787	2.414308	0	1.2936925	6.2374334	1
8_37	11.562336	3.3200097	2	Mouse	7.2454023	8.556683	0	4.7679486	7.6374755	3
8_39	8.300819	2.7018864	2	Mouse	8.738933	5.6176167	0	-1.0250391	6.1336985	1
8_41	0.90134877	-0.28469008	0	Human	6.3014045	10.102086	0	2.9940155	-3.3825567	2
8_48	-3.7349713	7.88366	1	Undetermined_cells	3.5064623	7.3744082	1	2.4391434	-2.423495	2
8_51	9.206966	7.6614485	2	Human	7.9331746	3.6010003	0	5.6562986	7.699404	3
8_55	-0.40768212	3.038388	1	Human	8.585248	10.423071	0	5.3460455	2.3000238	6
8_58	-1.7683192	1.1400893	1	Human	10.672054	4.5802307	0	3.294149	1.4622221	5
8_61	-0.83630276	-0.368008	1	Human	11.383604	10.900647	0	5.5123982	3.0833244	6
8_64	2.5505388	5.538016	1	Human	11.190147	10.583637	0	5.490902	-1.074475	0
8_68	5.3621545	4.3357925	0	Mouse	8.817716	7.1177573	0	5.4854636	0.5137293	0
8_77	4.4888268	8.620044	1	Human	8.1191	-0.7185303	3	3.2360845	1.1413025	5
8_78	2.3853767	3.9781585	0	Human	9.405728	5.702726	0	3.6878998	4.664988	7
8_81	10.742765	6.790348	2	Mouse	11.480751	3.8187783	0	-2.1421025	3.5950115	0
8_83	5.906743	4.0911036	0	Mouse	11.602698	8.822646	0	5.6990714	3.7765372	6
8_91	1.6268697	5.521131	1	Human	9.3573265	6.1560264	0	2.0255995	1.3169113	5
8_92	8.531068	0.81991994	2	Mouse	11.229585	3.097278	0	-1.8946819	4.8854275	1
8_94	9.4781	5.7152863	2	Mouse	11.5673	5.8199725	0	-2.966581	5.727891	1
8_108	-2.1979115	7.474534	1	Human	10.082336	5.813398	0	0.38453192	-1.7301486	2
8_111	-2.2365267	4.679939	1	Human	6.706532	10.621252	0	6.2746468	5.9194193	3
8_112	1.4718648	8.471698	1	Human	11.964526	3.9486232	0	4.2178416	0.88875127	0
9_16	0.1778066	10.0571	1	Undetermined_cells						
9_18	4.0922437	0.5090867	0	Human	10.109446	8.514774	0	4.638871	3.907061	6
9_20	6.4366484	0.7845348	2	Human	13.77544	6.647215	0	1.244366	-0.5775584	5
9_27	2.5663874	0.042997945	0	Human	12.765471	5.2955003	0	0.5176897	-2.6069055	2
9_29	4.2967095	7.667416	1	Human	8.87936	9.638794	0	5.4147367	3.5665066	6
9_40	0.49345836	10.12876	1	Human	9.984023	3.5980456	0	5.0038476	1.0719966	0
9_45	2.5053613	-1.0849266	0	Human	12.428341	10.014427	0	0.26909983	0.9664394	4
9_64	0.8824576	-0.98067904	0	Human	12.47773	5.580884	0	-2.2655256	0.005238857	4
9_78	-2.5007207	8.281551	1	Human	12.405964	6.516113	0	5.4099975	-1.3532023	0
9_83	2.1999378	3.2062936	0	Human	14.509124	5.4653893	0	4.754558	8.509626	3
9_86	4.789957	-0.40747297	2	Human	10.891753	9.190787	0	2.8356462	2.6177225	5
9_89	0.12669678	9.861191	1	Human	11.778077	4.8004565	0	2.2430916	-0.18554577	2
9_92	4.111787	7.1863265	1	Human	13.140567	9.1320095	0	5.19562	3.8130963	6
9_100	-1.7066253	5.1658897	1	Human	13.254784	7.634583	0	3.5633943	1.8787097	5
10_14	4.557237	0.12857632	0	Human	8.736844	-0.4868371	3	1.4511139	1.6826782	5
10_16	2.7923965	6.2963653	1	Human	7.793567	3.53219	0	4.3873897	8.244697	3
10_17	6.790787	7.1478825	1	Mouse	8.239034	3.8025403	0	0.40819025	7.216149	1
10_20	3.6191847	9.515953	1	Undetermined_cells	3.5034144	8.2655115	1	0.19603853	2.648338	4
10_22	-0.77948695	3.4456544	1	Human	12.606297	3.3131773	0	0.89343816	-0.6326729	2
10_27	-3.907155	1.8699473	1	Undetermined_cells	3.4978259	4.137503	3	6.1002073	-2.1146934	0
10_30	4.132372	0.61794037	0	Human	9.722618	2.8226843	0	1.0116856	-0.97766566	5
10_50	6.7740316	2.446023	2	Human	11.473416	4.9870734	0	-1.1567559	2.6774623	4
10_53	13.5658245	5.10705	2	Mouse	10.419887	5.354174	0	6.4659443	5.525489	3
10_58	2.3168287	-0.099169925	0	Human	8.513647	12.4261675	0	2.8133316	0.30212602	5
10_62	1.5038631	4.250657	1	Human	11.726571	5.053147	0	-0.34325618	0.42679483	4
10_66	9.749449	0.38241214	2	Mouse	9.641597	10.669468	0	-0.42847624	7.886925	1
10_69	5.1535974	-0.16382174	2	Human	-0.035134	4.564326	1	-2.289252	0.070697345	4
10_74	4.1354775	-0.5334604	0	Human	8.269796	4.8155303	0	2.8646245	0.18259303	2
10_79	-2.8432982	8.068595	1	Human	9.470901	6.7053595	0	6.246894	-0.6956219	0
10_83	1.5660738	9.1521	1	Human	10.040772	9.213451	0	3.826719	6.2594147	7
10_84	10.399794	3.3651888	2	Mouse	11.278843	6.2113934	0	2.3133845	6.890238	7
10_88	2.8857832	2.5316374	0	Human	10.485516	9.864991	0	2.8039513	-1.4597586	2
10_90	4.2949057	1.5669299	0	Human	8.105768	10.023777	0	4.744724	0.8004217	0
10_96	5.697943	3.9768028	0	Undetermined_cells	7.5366898	-0.7781328	3	1.2616416	5.9431996	6
11_5	-4.2167253	4.0085053	1	Human	10.272032	5.2011614	0	2.6581993	2.0577466	5
11_6	6.889386	1.8451915	2	Mouse						
11_15	9.48887	7.8889327	2	Mouse	13.955243	5.725866	0	-1.0285286	5.9204483	1
11_20	4.269969	9.054777	1	Human	12.604097	4.1766634	0	6.0529156	7.615435	3
11_26	0.915387	0.5449958	0	Human	10.908687	10.625813	0	-1.4532048	0.6854828	4
11_28	4.0515485	0.83085954	0	Undetermined_cells	11.08187	4.0195956	0	0.53555703	1.325406	4
11_37	3.6841056	2.6889691	0	Mouse	10.657103	12.776547	0	4.412559	0.11739029	0
11_41	7.92443	1.5404874	2	Mouse	6.9095125	5.908185	0	-0.9448445	5.466551	1
11_48	5.794813	3.0060833	0	Human	11.762161	5.0968227	0	1.4691545	-3.2697067	2
11_49	12.37129	3.9329665	2	Mouse	13.087281	5.8130336	0	-4.135208	5.8310595	1
11_50	0.43105698	0.7233043	0	Human	11.922779	4.4539948	0	3.6979043	1.2733023	5
