	H_UMIs_cage	M_UMIs_cage	Cell_type_img
14_108	38	521	Mouse
15_3	33	288	Mouse
15_5	444	5	Human
15_6	25	538	Mouse
15_8	687	9	Human
15_12	397	7	Human
15_21	212	28	Human
15_22	20	399	Mouse
15_24	45	5	Mouse
15_36	406	1	Human
15_37	379	19	Human
15_38	35	258	Undetermined_cells
15_40	359	12	Human
15_43	61	438	Mouse
15_44	513	65	Human
15_55	287	3	Human
15_57	168	13	Human
15_61	316	11	Human
15_65	137	8	Human
15_68	97	8	Human
15_72	14	2	Undetermined_cells
15_77	158	9	Human
15_85	22	240	Mouse
15_86	196	10	Human
15_90	309	18	Human
15_93	26	193	Mouse
15_101	5	47	Mouse
15_104	15	129	Mouse
15_111	217	15	Human
16_7	430	8	Human
16_10	793	7	Human
16_16	16	3	Undetermined_cells
16_19	45	4	Undetermined_cells
16_23	22	5	Undetermined_cells
16_25	6	39	Undetermined_cells
16_27	96	4	Mouse
16_28	210	4	Human
16_29	691	11	Human
16_31	21	175	Mouse
16_37	30	3	Undetermined_cells
16_45	312	17	Human
16_46	515	10	Human
16_52	16	393	Mouse
16_56	21	4	Undetermined_cells
16_62	16	132	Mouse
16_70	35	3	Human
16_75	256	8	Human
16_82	5	52	Mouse
16_86	322	6	Human
16_90	10	62	Mouse
16_97	92	4	Human
16_98	178	1	Human
16_105	210	6	Human
17_2	673	5	Human
17_10	37	720	Mouse
17_13	12	294	Mouse
17_22	494	3	Human
17_24	216	6	Human
17_26	235	42	Human
17_27	398	30	Human
17_40	47	335	Mouse
17_60	204	12	Human
17_61	19	235	Mouse
17_66	201	4	Human
17_79	15	100	Mouse
17_83	198	1	Human
17_84	21	247	Mouse
17_85	10	147	Mouse
17_88	18	266	Mouse
17_98	21	3	Mouse
17_107	10	183	Mouse
17_111	395	6	Human
18_5	29	127	Mouse
18_6	762	9	Undetermined_cells
18_8	408	10	Human
18_11	7	249	Mouse
18_14	412	22	Human
18_15	71	6	Undetermined_cells
18_22	9	156	Mouse
18_28	215	3	Undetermined_cells
18_29	629	12	Human
18_48	340	6	Human
18_49	197	2	Undetermined_cells
18_56	167	8	Human
18_62	158	3	Human
18_76	28	3	Undetermined_cells
18_79	12	82	Mouse
18_95	195	8	Human
18_97	35	4	Mouse
18_99	6	136	Mouse
18_100	9	79	Mouse
18_101	14	169	Mouse
18_104	29	188	Undetermined_cells
18_107	300	5	Human
18_108	214	2	Human
18_109	29	194	Mouse
18_110	383	10	Human
19_2	27	426	Mouse
19_3	28	408	Mouse
19_4	361	49	Human
19_5	36	585	Mouse
19_11	20	256	Mouse
19_12	20	408	Mouse
19_39	439	5	Human
19_47	180	5	Human
19_55	14	1	Undetermined_cells
19_56	283	3	Human
19_59	20	336	Mouse
19_66	22	164	Mouse
19_70	183	17	Human
19_77	9	81	Mouse
19_80	209	6	Human
19_82	9	196	Mouse
19_91	198	6	Human
19_92	327	4	Human
19_94	233	16	Human
19_104	228	5	Human
19_110	264	11	Human
19_111	39	269	Mouse
20_4	22	2	Mouse
20_6	12	2	Undetermined_cells
20_7	12	2	Mouse
20_13	363	14	Human
20_16	27	463	Mouse
20_18	355	83	Undetermined_cells
20_22	177	8	Undetermined_cells
20_23	123	9	Undetermined_cells
20_30	17	1	Undetermined_cells
20_32	43	176	Undetermined_cells
20_35	1025	187	Human
20_51	11	196	Mouse
20_56	21	189	Mouse
20_63	171	3	Human
20_64	10	1	Undetermined_cells
20_67	143	2	Human
20_77	12	217	Mouse
20_81	26	152	Mouse
20_82	289	11	Human
20_83	248	21	Human
20_85	753	9	Human
20_89	266	9	Human
20_90	316	8	Human
20_96	205	3	Human
20_98	22	399	Mouse
20_101	16	90	Mouse
20_111	664	6	Human
21_10	383	16	Human
21_13	645	7	Human
21_16	586	34	Human
21_19	56	463	Mouse
21_23	845	17	Human
21_30	397	8	Undetermined_cells
21_32	14	294	Mouse
21_34	38	391	Undetermined_cells
21_38	344	8	Human
21_40	306	11	Undetermined_cells
21_42	657	10	Human
21_43	457	4	Mouse
21_50	661	12	Human
21_53	220	5	Undetermined_cells
21_55	106	6	Human
21_58	27	335	Mouse
21_59	27	327	Mouse
21_75	175	4	Human
21_77	10	98	Mouse
21_80	422	18	Mouse
21_83	32	151	Mouse
21_84	71	337	Mouse
21_89	18	166	Mouse
21_98	191	15	Human
21_103	135	7	Human
21_110	748	177	Undetermined_cells
21_112	213	6	Human
22_4	35	655	Mouse
22_7	34	180	Undetermined_cells
22_13	55	396	Mouse
22_15	553	12	Human
22_16	87	2	Undetermined_cells
22_21	10	82	Mouse
22_25	587	99	Undetermined_cells
22_37	555	3	Human
22_40	18	152	Undetermined_cells
22_41	13	227	Undetermined_cells
22_42	298	40	Human
22_48	197	2	Human
22_50	237	4	Human
22_66	20	131	Mouse
22_68	19	3	Mouse
22_78	631	30	Human
22_88	16	196	Mouse
22_89	160	5	Human
22_91	405	12	Human
22_92	288	3	Human
22_95	14	217	Mouse
22_104	21	237	Mouse
22_105	25	354	Mouse
22_107	20	260	Mouse
23_3	482	9	Human
23_5	670	8	Human
23_13	482	14	Human
23_14	144	2	Undetermined_cells
23_15	538	8	Human
23_18	28	216	Mouse
23_29	205	34	Human
23_31	50	603	Mouse
23_37	1142	117	Mouse
23_47	572	9	Human
23_56	10	241	Mouse
23_57	322	7	Human
23_63	691	13	Human
23_69	671	14	Human
23_72	338	12	Human
23_86	30	4	Mouse
23_88	572	28	Human
23_90	314	3	Human
23_91	35	238	Mouse
23_93	240	2	Human
23_97	169	34	Human
23_104	288	5	Human
23_105	43	512	Mouse
23_111	636	4	Human
23_112	679	11	Human
24_1	3	16	Undetermined_cells
24_7	15	263	Mouse
24_10	29	391	Undetermined_cells
24_12	18	176	Undetermined_cells
24_15	873	66	Human
24_19	964	19	Human
24_20	160	16	Undetermined_cells
24_28	59	2	Undetermined_cells
24_30	314	6	Human
24_31	20	644	Mouse
24_35	43	216	Mouse
24_41	541	12	Human
24_46	334	15	Human
24_47	201	10	Undetermined_cells
24_49	17	259	Mouse
24_53	19	78	Mouse
24_58	46	7	Mouse
24_63	21	198	Mouse
24_64	338	16	Human
24_83	23	168	Mouse
24_84	353	15	Human
24_85	490	7	Human
24_86	38	285	Mouse
24_87	229	7	Human
24_88	44	1	Mouse
24_91	11	108	Mouse
24_104	277	3	Human
24_109	22	307	Mouse
25_6	86	426	Mouse
25_11	576	14	Human
25_16	803	38	Human
25_25	28	603	Mouse
25_26	696	12	Undetermined_cells
25_27	1015	12	Human
25_28	520	4	Human
25_38	594	7	Undetermined_cells
25_40	12	263	Mouse
25_46	359	7	Human
25_49	27	462	Mouse
25_54	493	5	Human
25_57	251	45	Human
25_65	225	7	Human
25_66	1193	10	Undetermined_cells
25_78	448	4	Human
25_80	513	35	Human
25_85	357	6	Human
25_87	364	8	Human
25_98	563	20	Undetermined_cells
25_100	101	1	Human
25_102	200	0	Undetermined_cells
25_105	341	31	Undetermined_cells
25_106	463	11	Human
25_110	295	7	Human
25_111	353	21	Human
26_1	77	603	Mouse
26_2	1040	18	Human
26_3	96	15	Undetermined_cells
26_4	835	15	Undetermined_cells
26_9	36	4	Undetermined_cells
26_14	293	64	Undetermined_cells
26_19	804	25	Mouse
26_20	342	36	Human
26_29	394	22	Human
26_35	50	8	Undetermined_cells
26_36	85	9	Undetermined_cells
26_38	263	4	Human
26_43	76	468	Mouse
26_51	36	3	Mouse
26_58	11	184	Mouse
26_63	97	10	Human
26_66	43	479	Mouse
26_80	20	124	Undetermined_cells
26_81	45	383	Mouse
26_87	51	388	Mouse
26_89	535	21	Undetermined_cells
26_92	23	298	Mouse
26_93	5	121	Mouse
26_109	30	334	Mouse
26_112	294	46	Human
27_4	746	39	Human
27_9	507	5	Human
27_10	72	691	Mouse
27_11	657	7	Human
27_12	1040	10	Human
27_25	1212	29	Human
27_27	476	7	Mouse
27_28	332	9	Human
27_33	862	95	Human
27_42	16	276	Mouse
27_44	403	18	Human
27_48	285	4	Human
27_56	13	307	Mouse
27_64	334	15	Mouse
27_69	27	229	Mouse
27_70	1141	199	Human
27_76	649	90	Human
27_77	635	70	Human
27_79	948	101	Human
27_82	24	206	Mouse
27_88	518	2	Human
27_90	470	8	Human
27_91	394	20	Mouse
27_97	294	8	Human
27_99	159	1	Human
27_106	199	33	Human
27_112	30	160	Mouse
28_4	673	9	Undetermined_cells
28_7	24	4	Undetermined_cells
28_15	51	278	Undetermined_cells
28_16	48	675	Mouse
28_27	751	34	Human
28_40	44	235	Mouse
28_62	118	17	Human
28_84	56	314	Mouse
28_92	36	8	Mouse
28_106	386	9	Human
28_107	336	4	Human
28_112	458	9	Human
29_3	702	8	Human
29_4	1025	15	Human
29_7	1031	14	Human
29_8	1258	12	Human
29_10	44	628	Mouse
29_12	29	765	Mouse
29_13	80	401	Mouse
29_16	50	658	Mouse
29_19	1314	24	Human
29_23	524	11	Human
29_27	292	10	Human
29_33	375	10	Human
29_48	27	4	Human
29_49	26	5	Human
29_62	21	4	Undetermined_cells
29_91	5	43	Mouse
30_4	884	50	Human
30_5	38	643	Mouse
30_6	27	442	Mouse
30_8	312	12	Human
30_20	901	149	Human
30_29	17	229	Mouse
30_39	7	53	Mouse
30_49	16	85	Mouse
30_59	109	17	Mouse
30_61	64	8	Undetermined_cells
30_66	75	5	Mouse
30_71	61	4	Human
30_75	165	5	Human
30_80	194	5	Human
30_83	282	16	Human
30_85	86	14	Human
30_86	84	10	Human
30_87	84	2	Human
30_92	114	23	Human
30_97	76	2	Human
30_98	53	5	Human
30_99	16	1	Human
30_108	22	5	Human
30_111	157	9	Human
31_3	32	439	Mouse
31_5	940	33	Human
31_8	35	215	Mouse
31_10	1016	20	Human
31_20	1052	37	Human
31_23	38	319	Mouse
31_39	15	65	Mouse
31_47	70	6	Human
31_53	70	5	Human
31_55	41	7	Human
31_62	32	8	Undetermined_cells
31_64	86	15	Mouse
31_73	50	7	Human
31_79	24	5	Human
31_84	5	32	Mouse
31_85	32	7	Human
31_98	39	1	Human
31_99	28	7	Undetermined_cells
32_2	24	426	Mouse
32_6	76	831	Mouse
32_8	35	526	Mouse
32_9	69	597	Mouse
32_11	1170	39	Human
32_14	57	413	Mouse
32_16	985	24	Human
32_17	63	13	Undetermined_cells
32_26	467	17	Undetermined_cells
32_37	52	274	Mouse
32_60	157	6	Mouse
32_76	201	10	Human
32_86	19	95	Mouse
32_87	164	23	Human
33_5	1137	31	Mouse
33_9	1044	48	Human
33_13	90	865	Mouse
33_17	31	404	Mouse
33_18	26	730	Mouse
33_19	39	479	Mouse
33_20	865	46	Human
33_21	928	21	Human
33_23	20	396	Mouse
33_27	32	257	Mouse
33_32	20	488	Mouse
33_38	25	440	Mouse
33_43	280	9	Mouse
33_48	511	6	Human
33_53	608	14	Human
33_73	185	43	Mouse
33_76	399	17	Mouse
33_81	39	236	Mouse
33_82	312	72	Human
33_84	674	20	Human
33_85	680	11	Human
33_86	451	15	Human
33_93	246	2	Human
33_94	25	328	Mouse
33_95	183	3	Human
33_102	10	262	Mouse
33_105	12	323	Mouse
33_111	858	66	Human
34_1	23	284	Undetermined_cells
34_3	1687	23	Undetermined_cells
34_4	491	25	Human
34_8	834	35	Undetermined_cells
34_19	245	12	Undetermined_cells
34_20	398	7	Undetermined_cells
34_23	512	10	Human
34_24	51	3	Undetermined_cells
34_25	374	3	Human
34_29	673	13	Human
34_33	44	9	Undetermined_cells
34_34	417	5	Human
34_36	599	12	Human
34_40	99	25	Mouse
34_41	677	64	Human
34_55	54	407	Mouse
34_69	22	122	Undetermined_cells
34_81	39	664	Mouse
34_82	369	8	Human
34_83	22	612	Mouse
34_93	20	162	Mouse
34_96	251	14	Mouse
34_98	28	212	Mouse
34_104	311	6	Undetermined_cells
34_105	103	12	Undetermined_cells
34_112	902	50	Human
35_10	591	24	Human
35_12	21	241	Mouse
35_15	412	7	Human
35_17	379	31	Human
35_19	849	32	Human
35_36	343	8	Human
35_42	714	12	Human
35_53	10	2	Mouse
35_57	33	463	Mouse
35_58	20	343	Mouse
35_59	683	22	Human
35_81	612	57	Human
35_82	45	378	Mouse
35_87	413	3	Human
35_98	233	10	Human
35_106	375	10	Human
35_109	737	17	Human
36_6	469	8	Human
36_7	12	2	Undetermined_cells
36_9	76	14	Undetermined_cells
36_12	779	13	Human
36_15	24	195	Mouse
36_19	205	24	Human
36_21	21	142	Mouse
36_22	189	7	Human
36_27	11	98	Mouse
36_37	60	9	Undetermined_cells
36_39	232	7	Human
36_40	9	124	Mouse
36_53	240	52	Human
36_62	224	31	Human
36_69	31	421	Mouse
36_70	19	278	Mouse
36_72	268	3	Human
36_75	21	255	Mouse
