	H_UMIs_cage	M_UMIs_cage	Cell_type_img
51_36	19	277	Mouse
51_37	690	50	Human
51_47	279	25	Human
51_51	746	15	Human
51_55	152	6	Human
51_59	336	25	Human
51_61	13	315	Mouse
51_72	19	265	Mouse
51_73	259	4	Human
51_91	33	193	Mouse
51_105	779	14	Human
52_2	16	2	Undetermined_cells
52_8	11	221	Mouse
52_14	12	342	Mouse
52_19	159	5	Human
52_21	145	30	Human
52_45	143	22	Human
52_50	13	111	Mouse
52_53	8	114	Mouse
52_60	242	10	Human
52_69	124	2	Human
52_81	300	6	Undetermined_cells
52_85	478	12	Human
52_94	149	19	Mouse
52_100	44	469	Mouse
52_102	577	13	Human
52_104	311	6	Undetermined_cells
52_106	20	218	Mouse
52_109	76	15	Undetermined_cells
52_110	564	24	Human
53_2	390	2	Human
53_4	335	11	Human
53_15	282	4	Human
53_16	768	12	Human
53_19	322	5	Human
53_21	147	9	Human
53_24	17	90	Undetermined_cells
53_25	20	311	Mouse
53_26	291	7	Human
53_27	428	6	Human
53_33	17	232	Mouse
53_34	38	245	Mouse
53_35	38	497	Mouse
53_36	473	36	Human
53_39	501	55	Mouse
53_42	414	8	Human
53_57	266	6	Human
53_58	156	34	Human
53_59	140	9	Human
53_71	292	13	Human
53_72	20	198	Mouse
53_75	395	10	Human
53_77	258	8	Human
53_78	266	3	Human
53_82	401	89	Undetermined_cells
53_86	372	13	Human
53_88	438	15	Human
53_89	221	15	Human
53_94	639	18	Human
53_105	41	296	Mouse
53_106	38	226	Mouse
53_108	428	51	Human
53_111	188	20	Human
53_112	31	4	Human
54_6	16	167	Mouse
54_7	18	334	Mouse
54_17	293	6	Human
54_28	456	5	Human
54_34	332	14	Human
54_40	7	163	Mouse
54_41	544	7	Human
54_42	725	8	Human
54_43	416	8	Human
54_44	297	8	Human
54_59	6	34	Mouse
54_80	358	6	Human
54_81	550	13	Undetermined_cells
54_83	28	149	Undetermined_cells
54_86	35	235	Mouse
54_101	683	137	Undetermined_cells
54_105	25	246	Mouse
54_108	432	22	Human
54_109	345	42	Human
54_112	19	181	Undetermined_cells
55_7	15	320	Mouse
55_8	30	309	Mouse
55_11	1052	144	Human
55_18	225	8	Human
55_21	650	39	Human
55_27	20	339	Mouse
55_30	20	292	Mouse
55_35	17	396	Mouse
55_37	26	191	Mouse
55_57	273	4	Human
55_58	30	131	Mouse
55_66	19	300	Mouse
55_67	29	379	Mouse
55_71	20	212	Mouse
55_74	473	9	Human
55_80	32	392	Mouse
55_86	289	9	Human
55_98	521	89	Undetermined_cells
55_105	49	260	Undetermined_cells
55_107	444	60	Human
55_109	64	377	Mouse
55_111	345	51	Human
56_10	10	102	Mouse
56_16	266	13	Human
56_22	17	215	Mouse
56_35	7	61	Mouse
56_37	586	4	Human
56_38	125	2	Human
56_45	18	136	Mouse
56_50	908	34	Human
56_51	398	4	Human
56_54	22	323	Mouse
56_55	287	17	Human
56_58	300	31	Human
56_59	25	209	Undetermined_cells
56_63	13	237	Mouse
56_64	76	475	Mouse
56_68	12	184	Mouse
56_72	387	68	Human
56_74	373	10	Human
56_79	10	200	Mouse
56_97	27	235	Mouse
56_99	370	27	Human
57_8	44	1	Human
57_10	2	58	Mouse
57_17	96	1	Human
57_18	69	2	Human
57_29	12	198	Mouse
57_30	270	3	Human
57_74	397	5	Human
57_82	434	17	Human
57_86	36	352	Mouse
57_91	368	9	Human
57_94	52	499	Mouse
57_99	321	13	Human
57_101	355	28	Human
57_103	228	10	Human
57_112	37	5	Human
