	All single-cell cages	Human single-cell cages	Murine single-cell cages
Cage count	1,714	959	755
Global UMI count	650,382	399,100	251,282
Median cage UMI count	323	350	287
Global unique gene count	22,882	17,487	17,573
Median cage unique gene count	241	247	229
